"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","HOU","-0.114","39.5%","-0.108","40.5%","-0.123","37.7%"
"2","","SEA","-0.103","40.2%","-0.050","42.2%","-0.204","36.5%"
"3","","CLE","-0.083","39.6%","-0.075","42.4%","-0.094","35.8%"
"4","","MIN","-0.075","41.8%","-0.069","42.1%","-0.082","41.4%"
"5","","LA","-0.071","41.9%","-0.054","44.3%","-0.097","38.0%"
"6","","LAC","-0.070","41.9%","-0.049","43.1%","-0.106","40.0%"
"7","","JAX","-0.064","43.0%","-0.041","46.3%","-0.116","35.7%"
"8","","PHI","-0.063","42.0%","-0.047","42.0%","-0.087","42.0%"
"9","","NO","-0.039","42.4%","0.028","44.2%","-0.121","40.1%"
"10","","DEN","-0.035","38.4%","0.002","39.4%","-0.106","36.5%"
"11","","NE","-0.024","45.1%","-0.007","46.4%","-0.053","42.9%"
"12","","BUF","0.007","43.6%","-0.038","43.5%","0.066","43.7%"
"13","","DET","0.012","42.5%","0.043","43.1%","-0.038","41.5%"
"14","","IND","0.014","45.7%","0.082","48.1%","-0.110","41.4%"
"15","","ATL","0.016","45.8%","0.043","47.2%","-0.025","43.7%"
"16","","TB","0.019","45.3%","0.083","49.8%","-0.100","36.8%"
"17","","PIT","0.020","44.2%","0.049","46.3%","-0.032","40.6%"
"18","","KC","0.022","45.0%","0.081","47.8%","-0.069","40.6%"
"19","","BAL","0.023","44.2%","0.095","46.2%","-0.108","40.5%"
"20","","CHI","0.028","46.7%","0.079","48.9%","-0.044","43.6%"
"21","","GB","0.043","44.9%","0.117","45.4%","-0.063","44.2%"
"22","","LV","0.062","46.3%","0.173","50.0%","-0.082","41.4%"
"23","","CAR","0.063","44.1%","0.113","47.0%","-0.005","40.3%"
"24","","SF","0.067","48.2%","0.147","49.1%","-0.071","46.8%"
"25","","MIA","0.073","47.5%","0.165","51.6%","-0.062","41.4%"
"26","","ARI","0.081","48.5%","0.162","52.4%","-0.040","42.9%"
"27","","TEN","0.097","45.2%","0.184","49.1%","-0.037","39.3%"
"28","","NYG","0.106","47.2%","0.098","47.2%","0.118","47.3%"
"29","","NYJ","0.134","44.7%","0.266","48.2%","-0.038","40.1%"
"30","","CIN","0.135","48.2%","0.205","51.2%","0.032","43.9%"
"31","","DAL","0.165","48.9%","0.241","50.9%","0.037","45.6%"
"32","","WAS","0.166","48.1%","0.269","50.9%","0.024","44.2%"
