"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","NE","0.269","52.4%","0.376","56.2%","0.100","46.4%"
"2","","SF","0.242","48.5%","0.399","55.3%","0.047","40.2%"
"3","","LA","0.183","53.3%","0.211","52.5%","0.142","54.5%"
"4","","GB","0.152","49.0%","0.344","54.0%","-0.139","41.4%"
"5","","BUF","0.127","48.3%","0.178","48.2%","0.072","48.4%"
"6","","CHI","0.114","47.0%","0.143","44.1%","0.076","51.0%"
"7","","DEN","0.111","49.4%","0.207","51.1%","-0.069","46.3%"
"8","","DAL","0.110","46.5%","0.153","48.3%","0.038","43.5%"
"9","","CIN","0.100","46.6%","0.206","49.5%","-0.068","41.9%"
"10","","JAX","0.097","43.1%","0.331","51.0%","-0.280","30.3%"
"11","","BAL","0.067","47.4%","-0.051","45.6%","0.181","49.0%"
"12","","ATL","0.058","45.1%","0.136","48.3%","-0.027","41.7%"
"13","","PHI","0.047","44.2%","0.125","47.1%","-0.053","40.4%"
"14","","LAC","0.022","42.7%","0.120","47.0%","-0.104","37.2%"
"15","","NO","0.021","43.8%","0.121","47.5%","-0.147","37.5%"
"16","","PIT","0.017","41.9%","-0.009","39.9%","0.058","45.2%"
"17","","MIA","0.015","43.2%","-0.005","43.7%","0.036","42.8%"
"18","","DET","0.015","39.5%","0.186","44.3%","-0.300","30.7%"
"19","","TB","0.011","45.2%","0.067","46.4%","-0.083","43.1%"
"20","","HOU","0.004","40.3%","0.170","44.8%","-0.194","34.9%"
"21","","CAR","-0.007","39.4%","0.094","38.7%","-0.136","40.2%"
"22","","ARI","-0.010","44.2%","0.009","44.7%","-0.058","42.9%"
"23","","NYG","-0.010","42.1%","-0.014","42.0%","-0.006","42.2%"
"24","","WAS","-0.019","42.3%","-0.061","42.5%","0.041","42.0%"
"25","","SEA","-0.030","44.3%","-0.056","48.6%","0.003","38.7%"
"26","","MIN","-0.082","41.9%","-0.167","42.5%","0.024","41.1%"
"27","","IND","-0.085","40.5%","-0.034","42.2%","-0.164","37.8%"
"28","","TEN","-0.087","37.5%","-0.136","34.9%","-0.020","40.9%"
"29","","KC","-0.115","38.6%","-0.128","38.5%","-0.090","38.9%"
"30","","LV","-0.172","36.7%","-0.114","40.9%","-0.280","28.7%"
"31","","CLE","-0.202","38.3%","-0.202","39.3%","-0.202","36.6%"
"32","","NYJ","-0.221","37.3%","-0.295","34.8%","-0.088","41.7%"
