"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","NE","0.145","47.5%","0.302","54.0%","-0.109","36.8%"
"2","","GB","0.145","48.6%","0.303","52.6%","-0.072","43.1%"
"3","","LA","0.144","52.1%","0.226","53.3%","0.023","50.4%"
"4","","BUF","0.132","48.0%","0.202","49.7%","0.041","45.7%"
"5","","DAL","0.118","47.3%","0.189","49.4%","-0.006","43.7%"
"6","","SF","0.109","49.0%","0.204","53.5%","-0.028","42.5%"
"7","","IND","0.091","47.2%","0.105","48.3%","0.069","45.4%"
"8","","CHI","0.080","45.8%","0.129","45.1%","0.007","46.8%"
"9","","KC","0.074","45.8%","0.134","47.9%","-0.047","41.6%"
"10","","DET","0.067","44.4%","0.163","47.9%","-0.075","39.1%"
"11","","DEN","0.048","44.1%","0.106","44.9%","-0.053","42.8%"
"12","","PHI","0.042","43.2%","0.112","45.3%","-0.053","40.4%"
"13","","NYG","0.037","42.8%","0.092","44.2%","-0.042","40.8%"
"14","","SEA","0.032","46.4%","0.128","52.3%","-0.077","39.6%"
"15","","BAL","0.031","45.2%","0.019","47.2%","0.045","42.8%"
"16","","WAS","0.028","46.2%","0.057","48.0%","-0.015","43.5%"
"17","","JAX","0.027","44.3%","0.090","47.2%","-0.069","39.9%"
"18","","PIT","0.026","44.1%","0.034","43.8%","0.012","44.5%"
"19","","CIN","0.019","45.6%","0.029","46.3%","-0.002","44.1%"
"20","","LAC","0.010","44.6%","0.064","47.7%","-0.080","39.4%"
"21","","ATL","0.006","45.1%","0.052","47.0%","-0.055","42.7%"
"22","","TB","0.005","43.2%","0.052","44.4%","-0.073","41.1%"
"23","","MIA","-0.003","42.1%","-0.003","43.5%","-0.003","40.1%"
"24","","HOU","-0.009","41.5%","0.087","45.6%","-0.161","34.9%"
"25","","ARI","-0.013","43.1%","0.044","45.7%","-0.144","37.1%"
"26","","CAR","-0.024","43.8%","-0.002","45.1%","-0.056","41.8%"
"27","","NO","-0.074","42.8%","-0.026","46.2%","-0.160","36.7%"
"28","","MIN","-0.102","42.9%","-0.128","42.3%","-0.060","43.8%"
"29","","NYJ","-0.122","40.9%","-0.131","40.4%","-0.108","41.7%"
"30","","TEN","-0.137","38.3%","-0.142","39.1%","-0.127","36.8%"
"31","","LV","-0.174","39.2%","-0.113","43.2%","-0.288","31.7%"
"32","","CLE","-0.179","35.2%","-0.208","36.1%","-0.127","33.8%"
