Team,Season,Pass Rate,Rush Rate,PROE,aDOT,vs Sticks,Left,Middle,Right,WR,TE,RB,11,12,13,21,22,Other,Shotgun,Singleback,I-Form,Empty,Other,Left,Right,Guard,Tackle,End,4th Down,2pt Conv,No Huddle,Scramble,TOP
KC,2025,0.6582,0.3418,0.0451,7.8364,-0.9218,0.4073,0.1691,0.4236,0.5763,0.2672,0.1565,,,,,,,,,,,,0.5065,0.4935,0.4098,0.2918,0.2984,0.2768,0.0789,0.0254,0.0878,29:57
ARI,2025,0.6934,0.3066,0.0388,7.1575,-1.974,0.3669,0.1997,0.4334,0.4544,0.348,0.1976,,,,,,,,,,,,0.4644,0.5356,0.1506,0.4184,0.431,0.2342,0.1053,0.1224,0.0508,29:48
LAR,2025,0.5901,0.4099,0.0291,9.1169,1.0414,0.3766,0.2162,0.4072,0.6434,0.25,0.1066,,,,,,,,,,,,0.4549,0.5451,0.4023,0.3722,0.2256,0.2929,0,0.0698,0.0103,30:29
NE,2025,0.6081,0.3919,0.0252,9.0729,0.2604,0.4021,0.2333,0.3646,0.59,0.2321,0.1779,,,,,,,,,,,,0.5261,0.4739,0.3693,0.3007,0.3301,0.2474,0.0385,0.0249,0.0974,30:55
CIN,2025,0.6599,0.3401,0.0185,7.5485,-1.1722,0.3545,0.2642,0.3813,0.606,0.2154,0.1786,,,,,,,,,,,,0.4922,0.5078,0.5271,0.2636,0.2093,0.181,0.087,0.0275,0.0201,29:38
DEN,2025,0.6285,0.3715,0.0167,7.5772,-1.3107,0.4058,0.163,0.4312,0.6099,0.1968,0.1933,,,,,,,,,,,,0.4812,0.5188,0.3031,0.3312,0.3656,0.1754,0.1364,0.131,0.0467,30:49
JAX,2025,0.5992,0.4008,0.0111,8.6837,-0.4034,0.4129,0.2254,0.3617,0.6635,0.1885,0.1481,,,,,,,,,,,,0.578,0.422,0.2908,0.227,0.4823,0.2544,0.0612,0.0658,0.0672,31:28
LAC,2025,0.6223,0.3777,0.0065,7.9218,-0.9065,0.3397,0.2233,0.437,0.6832,0.1802,0.1366,,,,,,,,,,,,0.5614,0.4386,0.3123,0.3474,0.3404,0.1402,0.0278,0.0385,0.0808,33:05
HOU,2025,0.6059,0.3941,-0.0023,8.3303,-0.6131,0.3905,0.1697,0.4398,0.6264,0.2377,0.1358,,,,,,,,,,,,0.4625,0.5375,0.3889,0.3464,0.2647,0.1462,0.1765,0.0374,0.0504,31:54
DAL,2025,0.6257,0.3743,-0.0039,8.1977,-0.3233,0.4271,0.1893,0.3836,0.6382,0.227,0.1348,,,,,,,,,,,,0.5296,0.4704,0.3554,0.3693,0.2753,0.3019,0.0417,0.0943,0.0411,30:47
IND,2025,0.5987,0.4013,-0.0064,7.9667,-0.849,0.4216,0.202,0.3765,0.5936,0.259,0.1474,,,,,,,,,,,,0.4498,0.5502,0.3493,0.3319,0.3188,0.268,0.1429,0.0517,0.0406,29:26
PIT,2025,0.6024,0.3976,-0.0096,5.9022,-3.0978,0.3832,0.1956,0.4212,0.4426,0.3111,0.2463,,,,,,,,,,,,0.4915,0.5085,0.2765,0.3208,0.4027,0.1927,0.0476,0.1118,0.0221,27:49
OAK,2025,0.6459,0.3541,-0.01,6.1379,-2.8004,0.3786,0.1955,0.4259,0.4861,0.3241,0.1898,,,,,,,,,,,,0.5,0.5,0.5256,0.2521,0.2222,0.2542,0.12,0.0885,0.0351,27:44
MIN,2025,0.6155,0.3845,-0.0125,7.8739,-0.9757,0.3673,0.1814,0.4513,0.6335,0.1991,0.1674,,,,,,,,,,,,0.463,0.537,0.2568,0.3424,0.4008,0.2018,0.1176,0.0762,0.0499,27:53
SF,2025,0.5836,0.4164,-0.0125,7.6599,-1.0404,0.3934,0.2721,0.3346,0.462,0.2338,0.3042,,,,,,,,,,,,0.4848,0.5152,0.3537,0.2988,0.3476,0.2222,0.102,0.0381,0.0402,31:11
TB,2025,0.6166,0.3834,-0.0262,8.1533,-0.7421,0.3981,0.1981,0.4037,0.6858,0.1475,0.1667,,,,,,,,,,,,0.5962,0.4038,0.4164,0.2587,0.3249,0.2417,0.2,0.0641,0.0633,31:22
GB,2025,0.5689,0.4311,-0.0289,8.9224,0.1384,0.3606,0.2013,0.4382,0.6068,0.2159,0.1773,,,,,,,,,,,,0.4462,0.5538,0.3259,0.2785,0.3956,0.2688,0.0455,0.0911,0.0615,29:48
NO,2025,0.6296,0.3704,-0.0289,8.1945,-0.7764,0.3618,0.1982,0.44,0.6267,0.234,0.1393,,,,,,,,,,,,0.4875,0.5125,0.4516,0.2437,0.3047,0.2583,0.1034,0.2232,0.0525,28:16
PHI,2025,0.5681,0.4319,-0.0317,9.011,0.1934,0.4308,0.167,0.4022,0.6273,0.2222,0.1505,,,,,,,,,,,,0.4671,0.5329,0.3234,0.3533,0.3234,0.1545,0.0698,0.1897,0.0774,30:25
BUF,2025,0.5638,0.4362,-0.0352,7.3441,-0.9355,0.3634,0.2108,0.4258,0.5677,0.2489,0.1834,,,,,,,,,,,,0.4755,0.5245,0.3948,0.3545,0.2507,0.2812,0.1228,0.0633,0.0873,32:40
TEN,2025,0.6486,0.3514,-0.0366,7.2828,-1.7603,0.3652,0.2041,0.4307,0.5665,0.2661,0.1673,,,,,,,,,,,,0.4756,0.5244,0.3333,0.3455,0.3211,0.2353,0,0.1019,0.036,29:15
WAS,2025,0.5889,0.4111,-0.0373,8.7647,-0.1606,0.3824,0.1765,0.4412,0.6274,0.2428,0.1298,,,,,,,,,,,,0.5285,0.4715,0.2943,0.3576,0.3481,0.25,0.1622,0.6565,0.1074,28:10
CLE,2025,0.626,0.374,-0.0383,6.7228,-3.0131,0.382,0.2584,0.3596,0.4402,0.3327,0.2271,,,,,,,,,,,,0.4437,0.5563,0.3838,0.331,0.2852,0.2014,0.1429,0.0912,0.0491,29:31
CHI,2025,0.5835,0.4165,-0.0407,8.692,-0.3358,0.3135,0.2208,0.4657,0.6091,0.2401,0.1508,,,,,,,,,,,,0.3862,0.6138,0.3478,0.3299,0.3223,0.225,0.087,0.0518,0.0707,31:13
NYG,2025,0.5808,0.4192,-0.0512,8.7175,-0.374,0.3841,0.2154,0.4004,0.5996,0.2097,0.1907,,,,,,,,,,,,0.5132,0.4868,0.3343,0.4223,0.2434,0.3305,0.0714,0.22,0.0819,30:40
